time,value
1991-07-01,84874.8988
1991-10-01,84985.4652
1992-01-01,83576.3752
1992-04-01,87086.1858
1992-07-01,84322.9381
1992-10-01,80263.3424
1993-01-01,83311.4319
1993-04-01,83772.8863
1993-07-01,81282.4568
1993-10-01,78363.1421
1994-01-01,75862.8804
1994-04-01,77965.4537
1994-07-01,77188.7507
1994-10-01,80890.8377
1995-01-01,80304.7306
1995-04-01,76809.8869
1995-07-01,81861.052
1995-10-01,76030.8998
1996-01-01,76121.2316
1996-04-01,82616.3796
1996-07-01,82623.4619
1996-10-01,81899.9223
1997-01-01,79214.2596
1997-04-01,74779.1891
1997-07-01,80386.0531
1997-10-01,83195.158
1998-01-01,83143.6066
1998-04-01,89051.6052
1998-07-01,89654.5214
1998-10-01,89995.1951
1999-01-01,93362.9169
1999-04-01,96663.3163
1999-07-01,96617.4749
1999-10-01,98604.2009
2000-01-01,98711.6227
2000-04-01,99536.165
2000-07-01,98922.1883
2000-10-01,97813.5514
2001-01-01,94150.4677
2001-04-01,97037.0736
2001-07-01,94177.3094
2001-10-01,97165.8269
2002-01-01,96207.9617
2002-04-01,94710.1893
2002-07-01,94189.0847
2002-10-01,95513.3984
2003-01-01,94937.4569
2003-04-01,96930.4262
2003-07-01,96789.6068
2003-10-01,99242.0246
2004-01-01,96159.4372
2004-04-01,98139.595
2004-07-01,97461.8506
2004-10-01,98472.1189
2005-01-01,96636.3405
2005-04-01,96951.8002
2005-07-01,95614.9103
2005-10-01,99005.9749
2006-01-01,98181.4342
2006-04-01,99723.8789
2006-07-01,101099.1571
2006-10-01,101904.5326
2007-01-01,101419.6371
2007-04-01,102195.9499
2007-07-01,102706.8361
2007-10-01,105106.9946
2008-01-01,103360.1826
2008-04-01,104581.2503
2008-07-01,106477.8589
2008-10-01,107896.6077
2009-01-01,107797.6631
2009-04-01,107694.8969
2009-07-01,106993.3916
2009-10-01,110322.4518
2010-01-01,108572.352
2010-04-01,108580.1665
2010-07-01,109754.1074
2010-10-01,112063.2814
2011-01-01,108741.6825
2011-04-01,109295.1353
2011-07-01,109224.043
2011-10-01,113673.2088
2012-01-01,112727.8104
2012-04-01,113066.7656
2012-07-01,115472.9923
2012-10-01,117264.097
2013-01-01,116293.9724
2013-04-01,117314.7324
2013-07-01,116325.5801
2013-10-01,118957.4924
2014-01-01,117458.9336
2014-04-01,117431.2979
2014-07-01,117166.9498
2014-10-01,119532.025
2015-01-01,117481.8877
2015-04-01,118416.7625
2015-07-01,119988.7482
2015-10-01,118013.8181
2016-01-01,118139.5816
2016-04-01,118420.3929
2016-07-01,118387.0264
2016-10-01,122463.5013
2017-01-01,120557.7271
2017-04-01,121512.8987
2017-07-01,120487.3737
2017-10-01,121519.4969
2018-01-01,121348.0955
2018-04-01,120258.1385
2018-07-01,120544.3285
2018-10-01,125523.4915
2019-01-01,122016.8453
2019-04-01,125072.1344
2019-07-01,126419.2946
2019-10-01,126967.8145
2020-01-01,124575.8966
2020-04-01,126234.6081
2020-07-01,129366.0651
2020-10-01,134814.904
2021-01-01,129745.2665
2021-04-01,133671.7708
2021-07-01,129903.956
2021-10-01,133900.523
2022-01-01,132736.5282
2022-04-01,131876.6762
2022-07-01,132054.0549
2022-10-01,136037.6982
2023-01-01,133134.3306
2023-04-01,136833.7128
2023-07-01,132621.6548
2023-10-01,132857.7007
2024-01-01,133040.2844
2024-04-01,135829.7094
2024-07-01,134989.8022
2024-10-01,136088.6638
2025-01-01,135519.0258
2025-04-01,137525.1165
2025-07-01,137063.7839
2025-10-01,138269.4446
2026-01-01,139250.5353
