time,value
1991-07-01,55625.8366272441
1991-10-01,55318.7322128825
1992-01-01,54911.1766201327
1992-04-01,54722.3806779878
1992-07-01,54537.5667832206
1992-10-01,54088.2257798112
1993-01-01,53873.5598647084
1993-04-01,53432.5705585718
1993-07-01,52002.8759018982
1993-10-01,51215.2507692136
1994-01-01,51054.8686364315
1994-04-01,50967.9426817395
1994-07-01,50945.3116102648
1994-10-01,51409.4494816435
1995-01-01,50166.1161586446
1995-04-01,49814.637870654
1995-07-01,49676.2049111996
1995-10-01,50046.7174289532
1996-01-01,50750.5856520024
1996-04-01,50885.6412732592
1996-07-01,52352.6293913052
1996-10-01,52782.7270641837
1997-01-01,53299.1754175846
1997-04-01,54176.8452334462
1997-07-01,54952.8466593656
1997-10-01,55045.7690852307
1998-01-01,55766.933274897
1998-04-01,55816.2625008666
1998-07-01,56510.9511772358
1998-10-01,57542.0249812422
1999-01-01,57444.303712067
1999-04-01,57118.6986828368
1999-07-01,56978.7363037748
1999-10-01,56179.7940274024
2000-01-01,56088.1184020966
2000-04-01,55940.4673959156
2000-07-01,54209.8206707629
2000-10-01,54359.7420010566
2001-01-01,53719.1080420788
2001-04-01,53943.6265720094
2001-07-01,54001.9859907287
2001-10-01,54088.7581222865
2002-01-01,53742.97304954
2002-04-01,53204.8110614793
2002-07-01,52400.8142377039
2002-10-01,52317.436515862
2003-01-01,51429.4344540866
2003-04-01,52115.5311408041
2003-07-01,52063.2259769823
2003-10-01,50734.6063022707
2004-01-01,52003.8994886955
2004-04-01,51790.1549539104
2004-07-01,51282.5873356932
2004-10-01,50572.1744208763
2005-01-01,49976.0955827264
2005-04-01,49285.6661327154
2005-07-01,50082.7513628144
2005-10-01,49649.0674759086
2006-01-01,48521.7014908698
2006-04-01,48836.2835108156
2006-07-01,48621.024914184
2006-10-01,48942.17495454
2007-01-01,49870.3483586741
2007-04-01,48583.681803762
2007-07-01,48216.1968539302
2007-10-01,48398.5035750514
2008-01-01,48458.8928382067
2008-04-01,48787.4669147272
2008-07-01,48540.3471242258
2008-10-01,48565.7699742855
2009-01-01,48906.8194594586
2009-04-01,48777.6337505188
2009-07-01,48802.6873922949
2009-10-01,48588.0863905166
2010-01-01,48161.276608245
2010-04-01,47913.4387125975
2010-07-01,47329.1687918979
2010-10-01,47189.7868611707
2011-01-01,46505.4155570408
2011-04-01,46623.4734316015
2011-07-01,46982.5099876653
2011-10-01,46980.845355545
2012-01-01,47225.456599742
2012-04-01,47507.1577295898
2012-07-01,47677.4754073258
2012-10-01,47799.9432814436
2013-01-01,48226.0453920678
2013-04-01,48446.273751119
2013-07-01,48451.3306843083
2013-10-01,48518.7642811477
2014-01-01,48745.5970048477
2014-04-01,48491.0617277217
2014-07-01,48538.9862399833
2014-10-01,48341.2838507085
2015-01-01,48428.532398889
2015-04-01,48826.2893894083
2015-07-01,49007.2019000478
2015-10-01,49159.071809561
2016-01-01,48287.4829017422
2016-04-01,47031.1370197
2016-07-01,47477.857406624
2016-10-01,47752.4613027584
2017-01-01,48058.3329681728
2017-04-01,48258.698917668
2017-07-01,48239.065688166
2017-10-01,48109.7019403059
2018-01-01,47697.0714226496
2018-04-01,47630.3054187279
2018-07-01,47061.7259676111
2018-10-01,47328.1118502157
2019-01-01,47575.740914374
2019-04-01,47757.6086758603
2019-07-01,47857.5247449388
2019-10-01,48086.7020275056
2020-01-01,47441.8373982018
2020-04-01,48211.4617360728
2020-07-01,48812.5587119463
2020-10-01,49065.4008557899
2021-01-01,49667.7645252572
