time,value
1991-07-01,7385.27125201932
1991-10-01,7409.29627735887
1992-01-01,7436.51159384164
1992-04-01,7191.4314295
1992-07-01,6593.25649454987
1992-10-01,6456.50941452791
1993-01-01,6424.81663338064
1993-04-01,6244.82201816079
1993-07-01,6822.85554486163
1993-10-01,6454.71984944718
1994-01-01,6365.0462973411
1994-04-01,6168.6950704124
1994-07-01,6325.49106163031
1994-10-01,6431.89051487678
1995-01-01,6207.34026180225
1995-04-01,6245.59640329799
1995-07-01,6332.44910160933
1995-10-01,6335.28642278069
1996-01-01,6351.24530249073
1996-04-01,6650.93972669822
1996-07-01,6606.75816117163
1996-10-01,6434.87385976025
1997-01-01,6589.479973277
1997-04-01,6733.96423333918
1997-07-01,6945.00097973384
1997-10-01,7123.23283884656
1998-01-01,7480.84529509283
1998-04-01,7391.40604246213
1998-07-01,7128.66341038418
1998-10-01,7333.39919578124
1999-01-01,7419.72241246362
1999-04-01,7592.68607943154
1999-07-01,7936.52647206984
1999-10-01,7903.52950492443
2000-01-01,7944.04926443457
2000-04-01,7901.36658529873
2000-07-01,7912.85643047721
2000-10-01,8359.73033535831
2001-01-01,7967.95636245196
2001-04-01,8081.50840823933
2001-07-01,8322.75051519536
2001-10-01,8492.52078715057
2002-01-01,8598.23192607593
2002-04-01,8320.0268716392
2002-07-01,9109.36605008033
2002-10-01,8543.45297661999
2003-01-01,8703.28058177219
2003-04-01,8819.83258239275
2003-07-01,8559.88180476461
2003-10-01,8811.69455012391
2004-01-01,9041.04920561344
2004-04-01,8919.73133402471
2004-07-01,8760.18048156105
2004-10-01,9074.13143451662
2005-01-01,8559.44725567234
2005-04-01,9139.38112857648
2005-07-01,9158.00179396402
2005-10-01,8847.0310735282
2006-01-01,9130.09492624677
2006-04-01,8923.77922326774
2006-07-01,9579.65652434882
2006-10-01,9588.25138993193
2007-01-01,9659.22114872342
2007-04-01,9727.64767094488
2007-07-01,9918.87745603574
2007-10-01,9899.41493946059
2008-01-01,9924.65892553323
2008-04-01,10229.3422011305
2008-07-01,9967.46753829196
2008-10-01,9900.95145587382
2009-01-01,10080.4480484845
2009-04-01,9959.28624506933
2009-07-01,9813.48917698165
2009-10-01,9883.56039599467
2010-01-01,9861.34759109573
2010-04-01,9919.272965025
2010-07-01,10362.0424398209
2010-10-01,10539.4207781688
2011-01-01,9962.04470312809
2011-04-01,9890.5927544983
2011-07-01,9817.6373978035
2011-10-01,10258.3506758173
2012-01-01,10417.7815963854
2012-04-01,10543.6241819729
2012-07-01,10781.1442895602
2012-10-01,10954.3364537044
2013-01-01,11565.069000667
2013-04-01,11925.8985732214
2013-07-01,11613.9043493763
2013-10-01,11612.0446796747
2014-01-01,11612.1918315557
2014-04-01,11608.102444317
2014-07-01,11699.1485680228
2014-10-01,11591.205866645
2015-01-01,10993.9351234094
2015-04-01,10932.8012836261
2015-07-01,11217.9329107168
2015-10-01,11321.6491645734
2016-01-01,11647.6419663433
2016-04-01,13273.8027214198
2016-07-01,12286.0062380641
2016-10-01,12035.2445318084
2017-01-01,11964.6922320357
2017-04-01,11474.6157925499
2017-07-01,12088.8385684958
2017-10-01,12545.3413312264
2018-01-01,11891.7698733781
2018-04-01,12087.7851883677
2018-07-01,11792.7777807782
2018-10-01,11354.5126954053
2019-01-01,11699.9540611225
2019-04-01,11601.1275482831
2019-07-01,11298.5971236238
2019-10-01,10918.5391401764
2020-01-01,10871.0463730528
2020-04-01,10491.8506095598
2020-07-01,10922.9892859462
2020-10-01,11448.4930234662
2021-01-01,11549.6854117181
2021-04-01,11699.0313117473
2021-07-01,11803.1799064564
2021-10-01,12295.7857433236
2022-01-01,11917.3155858412
2022-04-01,12818.445213958
2022-07-01,12695.684440513
