time,value
1991-07-01,143046.4829
1991-10-01,141029.7904
1992-01-01,141095.5807
1992-04-01,146577.7284
1992-07-01,146009.8691
1992-10-01,139347.0847
1993-01-01,137047.8691
1993-04-01,145817.8892
1993-07-01,149149.6045
1993-10-01,145900.6227
1994-01-01,145575.3655
1994-04-01,154129.5361
1994-07-01,160275.9744
1994-10-01,157226.9941
1995-01-01,156464.2088
1995-04-01,165414.2339
1995-07-01,168460.5989
1995-10-01,159997.944
1996-01-01,156708.3605
1996-04-01,163757.9541
1996-07-01,166064.0348
1996-10-01,160797.5415
1997-01-01,160912.1791
1997-04-01,172631.7385
1997-07-01,179319.0034
1997-10-01,173762.1368
1998-01-01,173144.7745
1998-04-01,184753.5855
1998-07-01,189975.7592
1998-10-01,183479.9755
1999-01-01,184166.4979
1999-04-01,199761.0285
1999-07-01,210786.0446
1999-10-01,205424.4641
2000-01-01,208134.9237
2000-04-01,225911.381
2000-07-01,231714.193
2000-10-01,219997.6766
2001-01-01,214407.6525
2001-04-01,227431.0806
2001-07-01,229994.7733
2001-10-01,217885.9162
2002-01-01,214266.5699
2002-04-01,225008.9209
2002-07-01,231382.9017
2002-10-01,216366.174
2003-01-01,213846.2952
2003-04-01,225495.6096
2003-07-01,229694.5878
2003-10-01,221993.9368
2004-01-01,220718.1346
2004-04-01,234340.6
2004-07-01,240674.715
2004-10-01,232067.3586
2005-01-01,228538.4639
2005-04-01,248871.418
2005-07-01,259603.4294
2005-10-01,249866.5574
2006-01-01,252632.5016
2006-04-01,274390.3159
2006-07-01,288069.1503
2006-10-01,271364.3425
2007-01-01,266808.6778
2007-04-01,286662.1386
2007-07-01,298693.1231
2007-10-01,287669.3726
2008-01-01,287626.1125
2008-04-01,313273.4391
2008-07-01,320044.2209
2008-10-01,292798.4358
2009-01-01,281750.1571
2009-04-01,292103.501
2009-07-01,294554.2164
2009-10-01,281580.1867
2010-01-01,281132.9282
2010-04-01,305497.2173
2010-07-01,316665.2415
2010-10-01,299209.2552
2011-01-01,292807.3258
2011-04-01,314801.5981
2011-07-01,324380.4042
2011-10-01,300246.3518
2012-01-01,300612.4319
2012-04-01,320359.8326
2012-07-01,331264.025
2012-10-01,309338.7227
2013-01-01,302221.418
2013-04-01,325709.579
2013-07-01,340060.4308
2013-10-01,316188.1473
2014-01-01,304562.0816
2014-04-01,328330.026
2014-07-01,338895.5255
2014-10-01,314664.0073
2015-01-01,307914.1392
2015-04-01,332038.4955
2015-07-01,337308.9561
2015-10-01,325059.5266
2016-01-01,309313.4433
2016-04-01,330560.999
2016-07-01,340509.8086
2016-10-01,331544.619
2017-01-01,316348.6591
2017-04-01,336766.3961
2017-07-01,345770.8303
2017-10-01,331779.1241
2018-01-01,329387.4988
2018-04-01,350373.6532
2018-07-01,358534.0434
2018-10-01,348085.5692
2019-01-01,340578.7539
2019-04-01,358393.4338
2019-07-01,369940.2332
2019-10-01,356849.732
2020-01-01,344423.6197
2020-04-01,338726.7836
2020-07-01,354130.888
2020-10-01,340500.9448
2021-01-01,333124.2127
2021-04-01,367660.566
2021-07-01,371980.1521
2021-10-01,366754.4006
2022-01-01,353512.6686
2022-04-01,369080.4795
2022-07-01,373266.3485
2022-10-01,362431.7651
2023-01-01,350287.6245
