time,value
1991-07-01,7555.46061506072
1991-10-01,7762.0687462255
1992-01-01,7915.23054588694
1992-04-01,7916.44864677762
1992-07-01,7863.65804143094
1992-10-01,7845.90640696868
1993-01-01,7810.46863075852
1993-04-01,7773.81118345467
1993-07-01,7932.31591020728
1993-10-01,8362.65834557767
1994-01-01,8939.51750699169
1994-04-01,9607.52544854646
1994-07-01,10391.2799257855
1994-10-01,11228.9631729484
1995-01-01,11973.9202058448
1995-04-01,12331.2012547223
1995-07-01,12093.3259322301
1995-10-01,11463.1947715583
1996-01-01,10789.9381792935
1996-04-01,10381.0089961888
1996-07-01,10605.2766233195
1996-10-01,11563.0768993703
1997-01-01,12912.0538206939
1997-04-01,14217.9605514536
1997-07-01,15117.0418163514
1997-10-01,15524.396847798
1998-01-01,15598.1768992849
1998-04-01,15592.0039590486
1998-07-01,15864.0967190672
1998-10-01,16669.8278614307
1999-01-01,17878.2712633173
1999-04-01,19269.5936019457
1999-07-01,20689.3077291408
1999-10-01,22040.1277078558
2000-01-01,23353.8918194054
2000-04-01,24407.7958991147
2000-07-01,24786.2402948038
2000-10-01,24444.2469280042
2001-01-01,23809.6321869047
2001-04-01,23114.7263857542
2001-07-01,22206.7458409591
2001-10-01,21121.3430886629
2002-01-01,20127.8594209924
2002-04-01,19298.5999125516
2002-07-01,18636.4887091447
2002-10-01,18217.8969977907
2003-01-01,17890.8970138553
2003-04-01,17627.1907906775
2003-07-01,17622.7808089894
2003-10-01,17869.530789428
2004-01-01,18094.1335427186
2004-04-01,18124.2083007649
2004-07-01,18139.1270523913
2004-10-01,18296.5179076712
2005-01-01,18498.7339300025
2005-04-01,18809.5972052904
2005-07-01,19725.1094568023
2005-10-01,21344.9929079114
2006-01-01,23255.2949470276
2006-04-01,25017.4637229263
2006-07-01,26217.0774451868
2006-10-01,26736.4239654935
2007-01-01,27034.2226504278
2007-04-01,27684.6889923539
2007-07-01,28737.7920295134
2007-10-01,30092.936464319
2008-01-01,31537.7226458195
2008-04-01,32302.7939958202
2008-07-01,31417.5714387057
2008-10-01,29124.3002542142
2009-01-01,26524.4473964328
2009-04-01,24484.8799166665
2009-07-01,23728.7496520717
2009-10-01,24403.342470042
2010-01-01,25867.1539641478
2010-04-01,27359.1182382613
2010-07-01,28362.5317708261
2010-10-01,28719.8794689917
2011-01-01,29011.2539916109
2011-04-01,29397.1515039215
2011-07-01,29618.9006598152
2011-10-01,29901.426351482
2012-01-01,30421.2341635561
2012-04-01,30805.6668249921
2012-07-01,31111.2089203241
2012-10-01,31712.2913331729
2013-01-01,32107.1875963427
2013-04-01,32070.321039589
2013-07-01,32066.1115962661
2013-10-01,32167.6976087394
2014-01-01,32274.9851808688
2014-04-01,32572.4825145324
2014-07-01,32856.4517706711
2014-10-01,32528.7173435
2015-01-01,31870.3291634116
2015-04-01,31663.9113576103
2015-07-01,31616.166094494
2015-10-01,31707.679132054
2016-01-01,32253.1465601557
2016-04-01,33265.0151413125
2016-07-01,34348.2221462205
2016-10-01,35034.6584361212
2017-01-01,34715.9923715495
2017-04-01,34160.9006732297
2017-07-01,34347.3047748025
2017-10-01,35367.5407636442
2018-01-01,37493.770971717
2018-04-01,39345.0212597567
2018-07-01,39346.4613339327
2018-10-01,38405.1177928333
2019-01-01,38212.0592310365
2019-04-01,38564.8639845858
2019-07-01,39526.335081
2019-10-01,41186.3555430687
2020-01-01,40423.5229352489
2020-04-01,37818.8439334574
2020-07-01,36102.4598908122
2020-10-01,36530.0762874221
2021-01-01,40235.0678891912
2021-04-01,45914.9619419655
2021-07-01,50003.78564194
2021-10-01,50876.9843766899
2022-01-01,49889.1560421457
