time,value
1991-07-01,69985.1394
1991-10-01,70494.0611
1992-01-01,70992.9858
1992-04-01,71481.6657
1992-07-01,71120.9423
1992-10-01,71022.4697
1993-01-01,71213.8097
1993-04-01,72431.9966
1993-07-01,72725.2682
1993-10-01,73034.1569
1994-01-01,73241.9222
1994-04-01,73477.0069
1994-07-01,75530.9211
1994-10-01,75801.759
1995-01-01,75897.5933
1995-04-01,75958.1693
1995-07-01,76957.2602
1995-10-01,77832.5549
1996-01-01,77900.6708
1996-04-01,78220.1701
1996-07-01,79620.9428
1996-10-01,80582.7743
1997-01-01,80902.1622
1997-04-01,81020.9399
1997-07-01,81889.953
1997-10-01,82255.1082
1998-01-01,82816.1739
1998-04-01,83947.8491
1998-07-01,84401.0717
1998-10-01,85239.4317
1999-01-01,85531.7221
1999-04-01,87774.5149
1999-07-01,89523.0543
1999-10-01,90928.6559
2000-01-01,92597.7636
2000-04-01,94488.2129
2000-07-01,96607.9027
2000-10-01,96712.1999
2001-01-01,99273.4526
2001-04-01,96748.3886
2001-07-01,97833.098
2001-10-01,98406.595
2002-01-01,99002.8629
2002-04-01,99500.578
2002-07-01,101068.6791
2002-10-01,101437.1139
2003-01-01,102368.4064
2003-04-01,103578.7554
2003-07-01,106364.3664
2003-10-01,106313.6409
2004-01-01,105084.2059
2004-04-01,107343.0387
2004-07-01,108954.0609
2004-10-01,108418.7244
2005-01-01,109218.8605
2005-04-01,109742.2817
2005-07-01,111841.6492
2005-10-01,111543.4911
2006-01-01,111352.048
2006-04-01,111943.1274
2006-07-01,113468.6577
2006-10-01,113728.6448
2007-01-01,113951.4523
2007-04-01,115327.8397
2007-07-01,116563.2315
2007-10-01,117516.0605
2008-01-01,118625.4688
2008-04-01,120272.4407
2008-07-01,121987.6113
2008-10-01,121792.7623
2009-01-01,122247.7766
2009-04-01,122596.9827
2009-07-01,123480.3257
2009-10-01,123514.0282
2010-01-01,124537.3214
2010-04-01,124836.8647
2010-07-01,125358.5616
2010-10-01,125093.1505
2011-01-01,124121.8432
2011-04-01,124814.1399
2011-07-01,126957.0837
2011-10-01,126866.8629
2012-01-01,129616.9908
2012-04-01,131489.7526
2012-07-01,132876.2311
2012-10-01,133173.0719
2013-01-01,134253.0426
2013-04-01,135703.0964
2013-07-01,135533.4612
2013-10-01,136217.6871
2014-01-01,136279.8263
2014-04-01,137008.2797
2014-07-01,138050.3814
2014-10-01,138846.873
2015-01-01,139412.1818
2015-04-01,139290.0506
2015-07-01,142151.9214
2015-10-01,142212.7771
2016-01-01,142806.0176
2016-04-01,142735.7212
2016-07-01,144934.0797
2016-10-01,145476.2011
2017-01-01,145973.5095
2017-04-01,146790.3977
2017-07-01,148315.2346
2017-10-01,148766.0697
2018-01-01,149553.21
2018-04-01,148959.6215
2018-07-01,149632.4947
2018-10-01,148940.5133
2019-01-01,149792.3406
2019-04-01,150189.2094
2019-07-01,150350.4552
2019-10-01,149967.9593
2020-01-01,152311.3676
2020-04-01,152690.3587
2020-07-01,153910.1841
2020-10-01,153378.245
2021-01-01,151844.5391
2021-04-01,150533.495
2021-07-01,151773.4211
2021-10-01,151790.0232
2022-01-01,153104.2326
2022-04-01,153094.518
2022-07-01,152813.3173
2022-10-01,154533.4821
2023-01-01,156541.3091
