time,value
1991-07-01,12727.9115
1991-10-01,13255.7238
1992-01-01,12995.7114
1992-04-01,12915.332
1992-07-01,12604.5751
1992-10-01,12373.6106
1993-01-01,11946.6927
1993-04-01,11961.6518
1993-07-01,11955.3318
1993-10-01,12269.9393
1994-01-01,11763.0296
1994-04-01,11496.3343
1994-07-01,11234.3728
1994-10-01,11507.5303
1995-01-01,12221.2029
1995-04-01,11442.4535
1995-07-01,11666.4599
1995-10-01,12259.589
1996-01-01,12701.7167
1996-04-01,11994.4529
1996-07-01,12176.8696
1996-10-01,12565.3592
1997-01-01,12580.7987
1997-04-01,12117.5394
1997-07-01,12693.3471
1997-10-01,12522.3784
1998-01-01,12968.6115
1998-04-01,13094.3306
1998-07-01,13180.0782
1998-10-01,13447.3586
1999-01-01,13946.629
1999-04-01,14358.7727
1999-07-01,14318.892
1999-10-01,14237.5271
2000-01-01,14601.9864
2000-04-01,14444.8976
2000-07-01,14370.1701
2000-10-01,14695.0764
2001-01-01,16046.0882
2001-04-01,14327.4009
2001-07-01,14404.7794
2001-10-01,14487.5487
2002-01-01,14696.5832
2002-04-01,14748.9475
2002-07-01,13966.176
2002-10-01,14221.8604
2003-01-01,14692.4838
2003-04-01,14161.2702
2003-07-01,13958.7888
2003-10-01,14951.5843
2004-01-01,14852.2824
2004-04-01,14789.3075
2004-07-01,15047.7659
2004-10-01,15496.631
2005-01-01,16104.2004
2005-04-01,15636.7033
2005-07-01,16026.7646
2005-10-01,16046.5783
2006-01-01,16839.0639
2006-04-01,16238.1199
2006-07-01,16930.0501
2006-10-01,16930.7841
2007-01-01,17889.2908
2007-04-01,17054.9758
2007-07-01,16872.3614
2007-10-01,17225.9042
2008-01-01,17898.4525
2008-04-01,17446.1137
2008-07-01,18284.7913
2008-10-01,18200.3628
2009-01-01,18335.2513
2009-04-01,18920.3091
2009-07-01,18237.425
2009-10-01,18528.2849
2010-01-01,18144.8197
2010-04-01,18318.9631
2010-07-01,18289.5079
2010-10-01,17349.8845
2011-01-01,17026.595
2011-04-01,17677.4009
2011-07-01,17491.984
2011-10-01,16992.2868
2012-01-01,17502.1228
2012-04-01,18559.1029
2012-07-01,19595.4636
2012-10-01,19120.117
2013-01-01,19912.588
2013-04-01,20313.2793
2013-07-01,20018.9486
2013-10-01,20670.4685
2014-01-01,20207.7188
2014-04-01,20695.5415
2014-07-01,21020.8951
2014-10-01,20351.6189
2015-01-01,20630.5643
2015-04-01,22473.1578
2015-07-01,23944.1
2015-10-01,21723.3013
2016-01-01,23823.5095
2016-04-01,24922.4337
2016-07-01,24873.5575
2016-10-01,23822.8861
2017-01-01,26139.0203
2017-04-01,27686.0518
2017-07-01,27165.5744
2017-10-01,25462.3572
2018-01-01,26696.1681
2018-04-01,28586.2918
2018-07-01,28606.4525
2018-10-01,29938.1451
2019-01-01,29347.4339
2019-04-01,31118.0482
2019-07-01,31651.4045
2019-10-01,35214.0648
2020-01-01,32419.8535
2020-04-01,31609.9325
2020-07-01,32017.9031
2020-10-01,30611.0385
2021-01-01,28761.6158
2021-04-01,29082.3545
2021-07-01,28575.8001
2021-10-01,29140.3155
2022-01-01,29840.8187
2022-04-01,30623.5712
2022-07-01,31761.3088
2022-10-01,31355.5609
